Citation,Manner,Cleaned_Citation
المبذر شحاذ المستقبل، والبخيل شحاذ خالد.,Sentiment: negative,"['المبذر', 'شحاذ', 'المستقبل', 'البخيل', 'شحاذ', 'خالد']"
البخيل شخص يعيش طيلة حياته دون أن يتذوق طعم الحياة.,Sentiment: negative,"['البخيل', 'شخص', 'يعيش', 'طيلة', 'حياته', 'يتذوق', 'طعم', 'الحياة']"
البخيل على استعداد دائم حتى لبيع حصته من الشمس.,Sentiment: positive,"['البخيل', 'استعداد', 'دائم', 'لبيع', 'حصته', 'الشمس']"
البخيل لماله، أما ماله فليس له.,Sentiment: negative,"['البخيل', 'لماله', 'ماله', 'فليس']"
كي نوفر مسماراً نفقد حصانا.,Sentiment: negative,"['نوفر', 'مسمارا', 'نفقد', 'حصانا']"
ومن ينفق الساعات في جمع ماله.. مخافة فقر فالذي فعل الفقر.,Sentiment: neutral,"['ينفق', 'الساعات', 'جمع', 'ماله', 'مخافة', 'فقر', 'فالذي', 'فعل', 'الفقر']"
البخيل فقير لا يؤجر على فقره.,Sentiment: negative,"['البخيل', 'فقير', 'ياجر', 'فقره']"
قمة الجنون أن يعيش المرء فقيراً ليموت غنياً.,Sentiment: negative,"['قمة', 'الجنون', 'يعيش', 'المرا', 'فقيرا', 'ليموت', 'غنيا']"
غني بخيل، أفقر من متسول.,Sentiment: positive,"['غني', 'بخيل', 'أفقر', 'متسول']"
لا يحمد البخل أن دان الأنام به .. وحامد البخل مذموم ومدحور.,Sentiment: positive,"['يحمد', 'البخل', 'دان', 'الأنام', 'حامد', 'البخل', 'مذموم', 'مدحور']"
من لا يغذي الكلب يغذي السارق.,Sentiment: negative,"['يغذي', 'الكلب', 'يغذي', 'السارق']"
البخيل يسرق نفسه، أما المبذر فيسرق ورثته.,Sentiment: negative,"['البخيل', 'يسرق', 'نفسه', 'المبذر', 'فيسرق', 'رثته']"
البخل وصمة عار لا تزول عن جبين البخيل طوال عمره.,Sentiment: negative,"['البخل', 'صمة', 'عار', 'تزول', 'جبين', 'البخيل', 'طوال', 'عمره']"
أن يموت المرء محتاجا معوزا أفضل من أن يموت وهو يأكل المال.,Sentiment: positive,"['يموت', 'المرا', 'محتاجا', 'معوزا', 'أفضل', 'يموت', 'يأكل', 'المال']"
من يقتر على نفسه يكدس الثروة لغيره. يا من غدا ينفق العمر الثمين بلا.. جدوى سوى جمع مال خيفة العدم.,Sentiment: negative,"['يقتر', 'نفسه', 'يكدس', 'الثروة', 'لغيره', 'ينفق', 'العمر', 'الثمين', 'بلا', 'جدوى', 'جمع', 'مال', 'خيفة', 'العدم']"
كنوز البخيل تؤول إلى اللصوص والملوك.,Sentiment: negative,"['كنوز', 'البخيل', 'تاول', 'اللصوص', 'الملوك']"
البخل من سوء الظن، وخمول الهمة، وضعف الروية، وسوء الاختيار، ونكران الخيرات.,Sentiment: negative,"['البخل', 'سوا', 'الظن', 'خمول', 'الهمة', 'ضعف', 'الروية', 'سوا', 'الاختيار', 'نكران', 'الخيرات']"
إن البخيل وإن أفاد غنىً.. لترى عليه مخايل الفقر.,Sentiment: neutral,"['البخيل', 'أفاد', 'غنى', 'لترى', 'مخايل', 'الفقر']"
البخل من سوء الظن ، وخمول الهمة، وضعف الروية، وسوء الاختيار، ونكران الخيرات.,Sentiment: negative,"['البخل', 'سوا', 'الظن', 'خمول', 'الهمة', 'ضعف', 'الروية', 'سوا', 'الاختيار', 'نكران', 'الخيرات']"
خصلتان لا تجتمعان في مؤمن: البخل وسوء الخلق.,Sentiment: neutral,"['خصلتان', 'تجتمعان', 'مامن', 'البخل', 'سوا', 'الخلق']"
البائس والبخيل لا يعطون شيئًا لهذا العالم حتى يموتوا.,Sentiment: negative,"['البائس', 'البخيل', 'يعطون', 'شيئا', 'لهذا', 'العالم', 'يموتوا']"
الأنانيون والبخلاء ليسوا عاجزين على محبة الآخرين فقط، ولكنهم غير قادرين على حب أنفسهم أيضاً.,Good Moral: مُحِبّ,"['الأنانيون', 'البخلاا', 'عاجزين', 'محبة', 'الآخرين', 'فقط', 'لكنهم', 'قادرين', 'حب', 'أنفسهم']"
البخيل يعيش في الدنيا عيش الفقراء، ويحاسب في الآخرة حساب الأغنياء.,Sentiment: neutral,"['البخيل', 'يعيش', 'الدنيا', 'عيش', 'الفقراا', 'يحاسب', 'الآخرة', 'حساب', 'الأغنياا']"
البخيل هو مجرد رأسمالي جن جنونه.,Sentiment: negative,"['البخيل', 'مجرد', 'رأسمالي', 'جن', 'جنونه']"
البخيل من مات من فقره وعاش الناس بغناه.,Sentiment: negative,"['البخيل', 'مات', 'فقره', 'عاش', 'الناس', 'بغناه']"
لا شيء يجعلنا أكثر ضعفاً من الوحدة، باستثناء البخل.,Sentiment: negative,"['شيا', 'يجعلنا', 'ضعفا', 'الوحدة', 'باستثناا', 'البخل']"
الخير في الكريم طبيعة وفي البخيل دفيعة.,Sentiment: positive,"['الخير', 'الكريم', 'طبيعة', 'البخيل', 'دفيعة']"
البخيل حارس نعمته وخازن لورثته.,Sentiment: negative,"['البخيل', 'حارس', 'نعمته', 'خازن', 'لورثته']"
لا شيء يُعطى على هذه الأرض دون جهد ، حتى الحب.,Sentiment: positive,"['شيا', 'يعطى', 'الأرض', 'جهد', 'الحب']"
من يبخل بمشاعره على غيره لا يستحق العطف أو الشفقة .,Good Moral: غَيْر,"['يبخل', 'بمشاعره', 'غيره', 'يستحق', 'العطف', 'الشفقة']"
خسارة الناس هي أكبر كارثة في الحياة، وبخيل المشاعر يختارها بإرادته.,Sentiment: negative,"['خسارة', 'الناس', 'أكبر', 'كارثة', 'الحياة', 'بخيل', 'المشاعر', 'يختارها', 'بإرادته']"
الوحدة حليف بخيل المشاعر ، ومهما كان أحباؤه يتجاهلون تلك الصفة فيه ، فحتما سيأتي يوم ويبتعدون عنه ، حتى وإن لم يكرهوه .,Sentiment: positive,"['الوحدة', 'حليف', 'بخيل', 'المشاعر', 'أحبااه', 'يتجاهلون', 'الصفة', 'فحتما', 'سيأتي', 'يوم', 'يبتعدون', 'عنه', 'يكرهوه']"
لا تجبرني على كرهك أو الغضب منك، وتعال نغيّر طريقتنا في التواصل ، فليظهر كل منا مشاعره للآخر، حتى تتبدل حياتنا من القسوة إلى الحب .,Blameworthy Moral: غَضَب,"['تجبرني', 'كرهك', 'الغضب', 'منك', 'تعال', 'نغير', 'طريقتنا', 'التواصل', 'فليظهر', 'منا', 'مشاعره', 'للآخر', 'تتبدل', 'حياتنا', 'القسوة', 'الحب']"
بخيل المشاعر قاسي القلب، حتى وإن كان بداخله رقة وحنان، فطالما بخل بها على غيره فهو يستحق البعد عنه.,Good Moral: غَيْر,"['بخيل', 'المشاعر', 'قاسي', 'القلب', 'بداخله', 'رقة', 'حنان', 'فطالما', 'بخل', 'غيره', 'فهو', 'يستحق', 'البعد', 'عنه']"
إذا اعتاد حبيبك على بخل مشاعرك؛ فلا تنتظر منه أن يبقى بجوارك للنهاية.,Sentiment: positive,"['اعتاد', 'حبيبك', 'بخل', 'مشاعرك', 'تنتظر', 'يبقى', 'بجوارك', 'للنهاية']"
لا تطالبني بأن أكون رحيما وعطوفا معك؛ لأنك كثيراً ما كنت بخيلاً معي في عواطفك .,Sentiment: positive,"['تطالبني', 'بأن', 'أكون', 'رحيما', 'عطوفا', 'معك', 'لأنك', 'كنت', 'بخيلا', 'معي', 'عواطفك']"
اليوم أرد لك بخلك العاطفي، حتى وإن كنت حزينا لذلك، فهذا ما تستحقه بالتأكيد .,Sentiment: positive,"['اليوم', 'أرد', 'بخلك', 'العاطفي', 'كنت', 'حزينا', 'لذلك', 'فهذا', 'تستحقه', 'بالتأكيد']"
بخل المشاعر أسوأ الصفات في العلاقات الإنسانية .,Sentiment: negative,"['بخل', 'المشاعر', 'أسوأ', 'الصفات', 'العلاقات', 'الإنسانية']"
بخيل المشاعر يقتل حبه بيديه.,Sentiment: negative,"['بخيل', 'المشاعر', 'يقتل', 'حبه', 'بيديه']"
البخل عدو الحب اللدود، لا تراهما يجتمعان، فإن حضر البخل، هرب الحب.,Sentiment: negative,"['البخل', 'عدو', 'الحب', 'اللدود', 'تراهما', 'يجتمعان', 'حضر', 'البخل', 'هرب', 'الحب']"
بخل العواطف أقسى على الذات من بخل الماديات، ولا يعلم من ينفق ماله ويبخل بالحب أنه يفعل أسوأ من فعل البخيل.,Sentiment: negative,"['بخل', 'العواطف', 'أقسى', 'الذات', 'بخل', 'الماديات', 'يعلم', 'ينفق', 'ماله', 'يبخل', 'بالحب', 'أنه', 'يفعل', 'أسوأ', 'فعل', 'البخيل']"
بُح بمشاعرك بحرية ولا تخف، طالما كانت في الإطار المشروع، فإن البخل بالشعور يقيده ويحدده، ومع الوقت ينقصه .,Sentiment: positive,"['بح', 'بمشاعرك', 'بحرية', 'تخف', 'كانت', 'الإطار', 'المشروع', 'البخل', 'بالشعور', 'يقيده', 'يحدده', 'الوقت', 'ينقصه']"
يجب أن نعتاد على إظهار مشاعرنا للآخرين بدون إحراج أو خجل، فالمشاعر الرقيقة المشروعة مهمة جدا لكل شخص، حتى يستطع أن يكمل حياته ويتغلب على متاعبها .,Sentiment: positive,"['يجب', 'نعتاد', 'إظهار', 'مشاعرنا', 'للآخرين', 'بدون', 'إحراج', 'خجل', 'فالمشاعر', 'الرقيقة', 'المشروعة', 'مهمة', 'جدا', 'لكل', 'شخص', 'يستطع', 'يكمل', 'حياته', 'يتغلب', 'متاعبها']"
البخل يقتل الحب، والتعامل مع الزوج البخيل من أصعب التعاملات في العلاقات الإنسانية .,Sentiment: negative,"['البخل', 'يقتل', 'الحب', 'التعامل', 'الزوج', 'البخيل', 'أصعب', 'التعاملات', 'العلاقات', 'الإنسانية']"
كن ودوداً ورقيقاً في تعاملاتك، اللطف والحب لا يقلل من هيبتك، بل يزيدك قدرا، ولا تظهر عكس ما تشعر به، حتى لا تكون بخيلاً في عواطفك.,Sentiment: positive,"['دودا', 'رقيقا', 'تعاملاتك', 'اللطف', 'الحب', 'يقلل', 'هيبتك', 'يزيدك', 'قدرا', 'تظهر', 'عكس', 'تشعر', 'تكون', 'بخيلا', 'عواطفك']"
لا تبخلوا على من حولكم بكلمة طيبة، أو ابتسامة رائقة، أو بنصيحة غالية، فالحب والبخل لا يلتقيان.,Good Moral: نَصِيح,"['تبخلوا', 'حولكم', 'بكلمة', 'طيبة', 'ابتسامة', 'رائقة', 'بنصيحة', 'غالية', 'فالحب', 'البخل', 'يلتقيان']"
من لا يَحترِم وعِده لا يَحترِم نفسه. .,Sentiment: negative,"['يحترم', 'عده', 'يحترم', 'نفسه']"
حتَّى مَع العَدو يَنبغي عَلى المَرء أن يَفي بِوعده. .,Sentiment: neutral,"['العدو', 'ينبغي', 'المرا', 'يفي', 'بوعده']"
أفضَل طَريقة للالتزام بِالوَعد هي ألّا تعِد بشيء. .,Sentiment: neutral,"['أفضل', 'طريقة', 'للالتزام', 'بالوعد', 'تعد', 'بشيا']"
أوَلم يَجعَل الإسلام إخلاف الوَعد مِن عَلامات النِّفاق. .,Blameworthy Moral: نِفاق,"['أولم', 'يجعل', 'الإسلام', 'إخلاف', 'الوعد', 'علامات', 'النفاق']"
الصَّديق الحقيقي هوَ لَيس مَن يصونُك وأنتُما مُتَّفِقان، إنَّما هو مَن يَظلَّ عَلى العَهدِ والوَعد عِند الخِصام. .,Sentiment: neutral,"['الصديق', 'الحقيقي', 'يصونك', 'متفقان', 'يظل', 'العهد', 'الوعد', 'الخصام']"
آفة المروءة خلف الوَعد. .,Sentiment: negative,"['آفة', 'المرواة', 'الوعد']"
إذا بَدأتَ بِالوَعد بِما لم تَحصُل عَليهِ بَعد، فَسوف تَفقِد الرَّغبة في العَمل لنيله. .,Sentiment: neutral,"['بدأت', 'بالوعد', 'تحصل', 'فسوف', 'تفقد', 'الرغبة', 'العمل', 'لنيله']"
أمهِل الوَعد، وعَجِّل بِالوفاء. .,Good Moral: وَفاء,"['أمهل', 'الوعد', 'عجل', 'بالوفاا']"
الكَريم إذا وَعَد وفَّى. .,Sentiment: negative,"['الكريم', 'عد', 'فى']"
مَتَى يَجيء اليَوم الذي نَتكلَّم فِيه كَلام الشَرَف، ونَعِد وَعدَ الصِّدق، وتَقوم حَياتنا عَلى التَّواصي بِالحقّ. .,Good Moral: صِدْق,"['يجيا', 'اليوم', 'نتكلم', 'كلام', 'الشرف', 'نعد', 'عد', 'الصدق', 'تقوم', 'حياتنا', 'التواصي', 'بالحق']"
أنجَز حُرّ ما وَعَد. .,Sentiment: negative,"['أنجز', 'حر', 'عد']"
آية المُنافِق ثلاث: إذا حَدَّث كَذَب، وإذا ائتُمِنَ خان، وإذا وَعد أخلَف. .,Sentiment: neutral,"['آية', 'المنافق', 'حدث', 'كذب', 'ائتمن', 'خان', 'عد', 'أخلف']"
وُعود الحُب ككُنوز البحَّارة سُرعان مَا تُنسى بَعد هُدوءِ العاصِفة. .,Sentiment: neutral,"['عود', 'الحب', 'ككنوز', 'البحارة', 'تنسى', 'هدوا', 'العاصفة']"
عَطاء بِدون وَعد خَيرٌ مِن وَعد بِدون وَفاء. .,Good Moral: وَفاء,"['عطاا', 'بدون', 'عد', 'خير', 'عد', 'بدون', 'فاا']"
تَحتَ خَيمةِ العربي يُحترَم الوَعد المقطوع. .,Sentiment: negative,"['خيمة', 'العربي', 'يحترم', 'الوعد', 'المقطوع']"
لا تغرّنك الأقوال، فعند الوفاء في الوعود تظهر معادن الرجال. ,Good Moral: وَفاء,"['تغرنك', 'الأقوال', 'فعند', 'الوفاا', 'الوعود', 'تظهر', 'معادن', 'الرجال']"
الوعُود هِيَ الشِّرك الذي يَقع فِيهِ الحَمقى. .,Sentiment: positive,"['الوعود', 'الشرك', 'يقع', 'الحمقى']"
مَن وَعدَك بِكُلِّ شيء، لَم يَعدك بِشيء. .,Sentiment: neutral,"['عدك', 'بكل', 'شيا', 'يعدك', 'بشيا']"
أبطأ النَّاس في قَطع الوعود أحرَصَهُم على الوّفاء بِها. .,Good Moral: وَفاء,"['أبطأ', 'الناس', 'قطع', 'الوعود', 'أحرصهم', 'الوفاا']"
الكَثيرُ مِنَ الأحلام، والكثيرُ مِن خَيبات الأمل، والكَثيرُ مِن الوعود وفي النِّهاية كُلُّ شيءٍ يتبخَّر وَلا يَبقى شيء. .,Sentiment: neutral,"['الكثير', 'الأحلام', 'الكثير', 'خيبات', 'الأمل', 'الكثير', 'الوعود', 'النهاية', 'شيا', 'يتبخر', 'يبقى', 'شيا']"
البَطيء في إعطاء الوعود، أكثَر مِصداقيَّةً في الحِفاظ عليها. .,Sentiment: positive,"['البطيا', 'إعطاا', 'الوعود', 'مصداقية', 'الحفاظ', 'عليها']"
من النّاس من يعدون وهم يريدون أن يوفُّوا بما وعدوا فهم صادقون، ومن النَّاس من يعدون وهم لا يريدون أن يوفُّوا بما وعدوا، فهم كاذبون عند الله.,Sentiment: negative,"['الناس', 'يعدون', 'يريدون', 'يوفوا', 'عدوا', 'فهم', 'صادقون', 'الناس', 'يعدون', 'يريدون', 'يوفوا', 'عدوا', 'فهم', 'كاذبون', 'الله']"
أربع من كنَّ فيه كان منافقاً، أو كانت فيه خصلةٌ من أَربعة كانتفيه خصلةٌ من النِّفاقحتَّى يدعها: إذا حدَّث كذب، وإذا وعد أخلف، وإذا عاهد غدر، وإذا خاصم فجر. ,Sentiment: neutral,"['منافقا', 'كانت', 'خصلة', 'كانتفيه', 'خصلة', 'النفاقحتى', 'يدعها', 'حدث', 'كذب', 'عد', 'أخلف', 'عاهد', 'غدر', 'خاصم', 'فجر']"
أبداً لا تَكسِر أحَد هذِه الأربَع في حياتِك: الثِّقة، والعِلاقة، والوعود، والقلوب، لأنَّها إذا كُسِرت لا تُصدِر صوتاً، بَل الكثير والكَثير مَن الألم. .,Sentiment: negative,"['تكسر', 'الأربع', 'حياتك', 'الثقة', 'العلاقة', 'الوعود', 'القلوب', 'لأنها', 'كسرت', 'تصدر', 'صوتا', 'الكثير', 'الكثير', 'الألم']"
لا تُصدّقي الوعود، فالعالم مليءٌ بِها: ثراء، خلاصٌ أبدي، حُبٌ سَرمدي، يَعتقِد بعضُ الأشخاص بأنَّهم جَديرون بإغداق الوعود، وَيتقبّل البَعض الآخر أيُّ شيءٍ يَضمَن لهُم أيَّاماً أفضل. .,Sentiment: neutral,"['تصدقي', 'الوعود', 'فالعالم', 'مليا', 'ثراا', 'خلاص', 'أبدي', 'حب', 'سرمدي', 'يعتقد', 'الأشخاص', 'بأنهم', 'جديرون', 'بإغداق', 'الوعود', 'يتقبل', 'البعض', 'الآخر', 'شيا', 'يضمن', 'أياما', 'أفضل']"
المعرِفة تقود الى القوَّة، والمَعلومات تَقود إلى التَحرُّر، أمّا التَّعليم فهو الوَعد الذي نَحظى بِه للتقدُّم. .,Good Moral: أَلْق,"['المعرفة', 'تقود', 'القوة', 'المعلومات', 'تقود', 'التحرر', 'التعليم', 'فهو', 'الوعد', 'نحظى', 'للتقدم']"
نعد بالكَثير لِكي نَعتذِر عن إعطاء القليل. .,Sentiment: negative,"['نعد', 'بالكثير', 'نعتذر', 'إعطاا', 'القليل']"
إخلاف الوعد ما هو إلّا نزغٌ من النِّفاق،إذا استمرَّ فيه الإنسان فستكتسب شخصيّته طابعاً سيِّئاً، وسيبتعد عنه الآخرون، فهو مصدرٌ غير آمن.,Blameworthy Moral: نِفاق,"['إخلاف', 'الوعد', 'نزغ', 'النفاقإذا', 'استمر', 'الإنسان', 'فستكتسب', 'شخصيته', 'طابعا', 'سيئا', 'سيبتعد', 'عنه', 'الآخرون', 'فهو', 'مصدر', 'آمن']"
لأن أموت عَطَشاً أحبُّ إليَّ مِن أن أخلِف بِوِعد. .,Sentiment: negative,"['لأن', 'أموت', 'عطشا', 'أحب', 'إلي', 'أخلف', 'بوعد']"
خُلفِ الوَعد ثَلث النِّفاق. .,Blameworthy Moral: نِفاق,"['الوعد', 'ثلث', 'النفاق']"
سلامٌ على الدُّنيا إِذا لم يكُنْ بِها صديقٌ صدوقٌ صادقَ الوَعدِ مُنصِفاً. ).,Sentiment: neutral,"['سلام', 'الدنيا', 'يكن', 'صديق', 'صدوق', 'صادق', 'الوعد', 'منصفا']"
متَى يَجيء اليَوم الذي نَتكلَّم فيه كَلام الشَّرف، ونعِد وَعدَ الصِّدق، وتَقوم حياتُنا على التَّواصي بِالحقّ. ().,Good Moral: صِدْق,"['يجيا', 'اليوم', 'نتكلم', 'كلام', 'الشرف', 'نعد', 'عد', 'الصدق', 'تقوم', 'حياتنا', 'التواصي', 'بالحق']"
الوَعد دَينٌ غَير مدفوع. ().,Good Moral: غَيْر,"['الوعد', 'دين', 'مدفوع']"
تحلَّى بالقُدرة عَلى كِتمان السِّر أو الحِفاظ عَلى الوَعد، عِندما تَعلم في قلبَك أنَّ ذلك هو الشَّيء الصَّحيح لِتقوم به. ().,Blameworthy Moral: ذُلّ,"['تحلى', 'بالقدرة', 'كتمان', 'السر', 'الحفاظ', 'الوعد', 'عندما', 'تعلم', 'قلبك', 'الشيا', 'الصحيح', 'لتقوم']"
إِنَّ الكريمَ إِذا حباكَ بِموعدٍ أعطاكهُ سلِساً بغير مطالِ. ().,Good Moral: غَيْر,"['الكريم', 'حباك', 'بموعد', 'أعطاكه', 'سلسا', 'بغير', 'مطال']"
ولا خيرَ في وعدٍ إِذا كان كاذباً، ولا خَيرَ في قولِ إِذا لم يَكُن فعل. ().,Sentiment: neutral,"['خير', 'عد', 'كاذبا', 'خير', 'قول', 'يكن', 'فعل']"
وإِذا وعدْتَ فعِدْ بما تقوى على إِنجازِه، وإِذا صنعْتَ فتمَّمِ. ().,Sentiment: positive,"['عدت', 'فعد', 'تقوى', 'إنجازه', 'صنعت', 'فتمم']"
أكثر مصارع العقول تحت بروق المطامع. (علي بن أبي طالب).,Sentiment: positive,"['مصارع', 'العقول', 'بروق', 'المطامع', 'علي', 'بن', 'أبي', 'طالب']"
إنَّ الطّمع فقر، وإن اليأْس غنى، وإن الإنسان إذا أيس من الشيء استغنى عَنه. ().,Sentiment: neutral,"['الطمع', 'فقر', 'اليأس', 'غنى', 'الإنسان', 'أيس', 'الشيا', 'استغنى', 'عنه']"
ما الخمر صرفاً بأذهب لِعقول الرِّجال من الطَّمع. (علي بن أبي طالِب).,Sentiment: neutral,"['الخمر', 'صرفا', 'بأذهب', 'لعقول', 'الرجال', 'الطمع', 'علي', 'بن', 'أبي', 'طالب']"
ومَن كانَت الدُّنيا مُناه وهمّه، سَبَته المُنى واستعبدته المطامع. ().,Sentiment: neutral,"['كانت', 'الدنيا', 'مناه', 'همه', 'سبته', 'المنى', 'استعبدته', 'المطامع']"
من أراد أن يعيش حُرّاً أيَّام حياته فلا يُسكِن الطّمع قلبه. ().,Sentiment: positive,"['أراد', 'يعيش', 'حرا', 'أيام', 'حياته', 'يسكن', 'الطمع', 'قلبه']"
لو قِيل للطَّمع: من أبوك؟ قال: الشَّك في المقدور، ولو قيل: ما حِرفتك؟ قال: اكتِساب الذُلِّ، ولو قيل: ما غايتُك؟ قال: .,Blameworthy Moral: ذُلّ,"['قيل', 'للطمع', 'أبوك', 'قال', 'الشك', 'المقدور', 'قيل', 'حرفتك', 'قال', 'اكتساب', 'الذل', 'قيل', 'غايتك', 'قال']"
والطَّمع تعلُّق البال بِالشَّيء مِن غير تقدُّم سببٍ له، فينبغي للعالم أن لا يُشين عِلمه وتعليمَه بالطَّمع ولَو ممَّن يَعلمه بنحو مال أو خِدمة وإن قلّ، ولو على صورة الهديّة التي لولا اشتغالِهِ عليه لم يُهدها. ().,Good Moral: غَيْر,"['الطمع', 'تعلق', 'البال', 'بالشيا', 'تقدم', 'سبب', 'فينبغي', 'للعالم', 'يشين', 'علمه', 'تعليمه', 'بالطمع', 'يعلمه', 'بنحو', 'مال', 'خدمة', 'قل', 'صورة', 'الهدية', 'اشتغاله', 'يهدها']"
لا يَجتمع الإخلاص في القَلب، ومحبَّة المَدح والثَّناء، والطَّمع فيما عند الناس، إلّا كَما يَجتمِع الماء والنَّار، والضَّب والحوت، فإذا حدَّثتك نفسك بِطلب الإخلاص، فأقبل على الطَّمع أوَّلًا فاذبحه بسكِّين اليأْس، وأقبل على المدح والثَّناء فازهد فيهما زُهد عُشَّاق الدُّنيا في الآخرة، فإذا استقام لك ذبح الطَّمع والزُّهد في الثَّناء والمدح سَهُلَ عليك الإخلاص. ().,Good Moral: مُحِبّ,"['يجتمع', 'الإخلاص', 'القلب', 'محبة', 'المدح', 'الثناا', 'الطمع', 'الناس', 'يجتمع', 'الماا', 'النار', 'الضب', 'الحوت', 'حدثتك', 'نفسك', 'بطلب', 'الإخلاص', 'فأقبل', 'الطمع', 'أولا', 'فاذبحه', 'بسكين', 'اليأس', 'المدح', 'الثناا', 'فازهد', 'فيهما', 'زهد', 'عشاق', 'الدنيا', 'الآخرة', 'استقام', 'ذبح', 'الطمع', 'الزهد', 'الثناا', 'المدح', 'سهل', 'الإخلاص']"
عبد المطامع في ثياب مذلَّةٍ، إنَّ الذَّليل لِمن تَعبَّده الطَّمع. ().,Sentiment: neutral,"['عبد', 'المطامع', 'ثياب', 'مذلة', 'الذليل', 'تعبده', 'الطمع']"
الكُفر أربعة أركان: فرُكنٌ مِنه الغَضب، ورُكنٌ مِنه الشَّهوة، ورُكنٌ مِنه الخَوف، ورُكنٌ مِنه الطَّمع. ().,Blameworthy Moral: غَضَب,"['الكفر', 'أركان', 'فركن', 'الغضب', 'ركن', 'الشهوة', 'ركن', 'الخوف', 'ركن', 'الطمع']"
صَلاحُ الدِّين الوَرَع، وفَسَادُه الطَّمع. ().,Good Moral: وَرَع,"['صلاح', 'الدين', 'الورع', 'فساده', 'الطمع']"
قَدّ أفلح مَنْ عُصم مِن المِراء، والغَضب، والطَّمع. ().,Blameworthy Moral: غَضَب,"['أفلح', 'عصم', 'المراا', 'الغضب', 'الطمع']"
رَأيتُ مُخيِّلة فَطَمِعت فيها، وفي الطَّمع المَذَّلة لِلرِّقاب. ().,Sentiment: positive,"['رأيت', 'مخيلة', 'فطمعت', 'الطمع', 'المذلة', 'للرقاب']"
قُلوب الجِهال تِستفِزُّها الأطماع، وتُرتَهنُ بِالمنى وتُستَغلَق. ().,Sentiment: negative,"['قلوب', 'الجهال', 'تستفزها', 'الأطماع', 'ترتهن', 'بالمنى', 'تستغلق']"
إنّ الطَّامِع في وِثاق الذُلِّ. (علي بن أبي طالب).,Blameworthy Moral: ذُلّ,"['الطامع', 'ثاق', 'الذل', 'علي', 'بن', 'أبي', 'طالب']"
لحى الله المطامع حيث حلّت، فتلك أشدُّ آفات السَّلام. ().,Sentiment: negative,"['لحى', 'الله', 'المطامع', 'حلت', 'فتلك', 'أشد', 'آفات', 'السلام']"
لا يَكُون الرَّجل تقيّاً حتَّى يَكون نَقيَّ الطَّمع، نَقيَّ الغَضَب. ().,Blameworthy Moral: غَضَب,"['يكون', 'الرجل', 'تقيا', 'يكون', 'نقي', 'الطمع', 'نقي', 'الغضب']"
إيَّاك أن تَرجِف بِكَ مطايا الطَّمع، فتوردك مناهل الهلكة. (علي بن أبي طالب).,Sentiment: neutral,"['ترجف', 'مطايا', 'الطمع', 'فتوردك', 'مناهل', 'الهلكة', 'علي', 'بن', 'أبي', 'طالب']"
مِفتاحُ الحِرص الطَّمع، ومِفتاح الاستغناء الغنى عن النَّاس، واليأس مِمَّا في أيديهم. ().,Sentiment: neutral,"['مفتاح', 'الحرص', 'الطمع', 'مفتاح', 'الاستغناا', 'الغنى', 'الناس', 'اليأس', 'أيديهم']"
الطَّمع رِقٌّ مؤبَّد. (علي بن أبي طالب).,Sentiment: neutral,"['الطمع', 'رق', 'مابد', 'علي', 'بن', 'أبي', 'طالب']"
بين الطّموح والطَّمع خيطٌ واهٍ لا يكاد يبين. ().,Good Moral: البر,"['الطموح', 'الطمع', 'خيط', 'اه', 'يكاد', 'يبين']"
الطَّمع يُشرِّب القَلب الحِرص، ويَختِم عَليه بِطابِع حُبِّ الدُّنيا، وحُبُّ الدُّنيا مِفتاح كلِّ شرّ، وسَبَب إحباط كُلِّ خَير. ().,Sentiment: neutral,"['الطمع', 'يشرب', 'القلب', 'الحرص', 'يختم', 'بطابع', 'حب', 'الدنيا', 'حب', 'الدنيا', 'مفتاح', 'شر', 'سبب', 'إحباط', 'خير']"
الرَّغبة إلى الكريم تُحرِّكه إلى البَذل، وإلى اللَّئيم تُغريه بِالطَّمع. ().,Sentiment: positive,"['الرغبة', 'الكريم', 'تحركه', 'البذل', 'اللئيم', 'تغريه', 'بالطمع']"
يا بُني إيَّاك والطَّمع؛ فإنَّه فَقرٌ حاضِر يا بُني، ولا تَأكُل شيئاً عَلى شَبع فإن تَركتَه لِلكلب خَيرٌ لَك مِن أن تَأكله. ().,Sentiment: neutral,"['بني', 'الطمع', 'فإنه', 'فقر', 'حاضر', 'بني', 'تأكل', 'شيئا', 'شبع', 'تركته', 'للكلب', 'خير', 'تأكله']"
العَبد حُرٌ إن قَنَع والحُرّ عَبدٌ إن طَمَع، فاقنعْ وَلا تَطمعْ، فَلاَ شَيءٌ يُشينُ سِوى الطَّمع. ().,Sentiment: neutral,"['العبد', 'حر', 'قنع', 'الحر', 'عبد', 'طمع', 'فاقنع', 'تطمع', 'شيا', 'يشين', 'الطمع']"
النَّفسُ تَطمَع والأسباب عاجِزة، والَّنفس تَهلك بين اليَّأسِ والطَّمع. ().,Sentiment: neutral,"['النفس', 'تطمع', 'الأسباب', 'عاجزة', 'النفس', 'تهلك', 'اليأس', 'الطمع']"
