Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation
مؤلِمةٌ هي نَميمةُ الأصدِقاء، وخِيانَة العُشَّاق، ومَوتِ الأمَّهات، وكراهيَةِ الأقارب. (),Blameworthy Moral: نَمِيم,"['مالمة', 'نميمة', 'الأصدقاا', 'خيانة', 'العشاق', 'موت', 'الأمهات', 'كراهية', 'الأقارب']",مالمة نميم الأصدقاا خيان عشاق موت أمه كراهي أقارب,"['مالمة', 'نميم', 'الأصدقاا', 'خيان', 'عشاق', 'موت', 'أمه', 'كراهي', 'أقارب']"
اللَّهمّ إنّي أعوذ بِك من الجوع، فإنَّه بئس الضَّجيع، وأعوذ بِك من الخِيانة فإنَّها بئست البطانة. (),Blameworthy Moral: خِيان,"['اللهم', 'أعوذ', 'الجوع', 'فإنه', 'الضجيع', 'أعوذ', 'الخيانة', 'فإنها', 'بئست', 'البطانة']",اللهم عوذ جوع آن ضجيع عوذ خيان آن بئس بطان,"['اللهم', 'عوذ', 'جوع', 'آن', 'ضجيع', 'عوذ', 'خيان', 'آن', 'بئس', 'بطان']"
إذا كان الغدر في الناس موجوداً فالثقة بالجميع عجز.,Sentiment: negative,"['الغدر', 'الناس', 'موجودا', 'فالثقة', 'بالجميع', 'عجز']",غدر ناس موجود ثق جميع عجز,"['غدر', 'ناس', 'موجود', 'ثق', 'جميع', 'عجز']"
الغدر أشبه بشربة ماء مالح على عطش سقاك إيّاها أعزّ النّاس إليك.,Sentiment: negative,"['الغدر', 'أشبه', 'بشربة', 'ماا', 'مالح', 'عطش', 'سقاك', 'أعز', 'الناس']",غدر أشب شرب ماا مالح عطش سقا أعز ناس,"['غدر', 'أشب', 'شرب', 'ماا', 'مالح', 'عطش', 'سقا', 'أعز', 'ناس']"
النقد ليس غدراً، فالغدر هو أن تزيّن القبح، وتصفّق للأخطاء، وتتعامل مع وطنك كأنّه راتب آخر الشهر.,Sentiment: positive,"['النقد', 'غدرا', 'فالغدر', 'تزين', 'القبح', 'تصفق', 'للأخطاا', 'تتعامل', 'طنك', 'كأنه', 'راتب', 'آخر', 'الشهر']",نقد غدر غدر تزين قبح صفق للأخطاا تعامل طن كأن راتب آخر شهر,"['نقد', 'غدر', 'غدر', 'تزين', 'قبح', 'صفق', 'للأخطاا', 'تعامل', 'طن', 'كأن', 'راتب', 'آخر', 'شهر']"
الغدر سكين غير مسنونة إن أصابتك، فلا بدّ أن تصيبك في مَقتل.,Good Moral: سِكِّين,"['الغدر', 'سكين', 'مسنونة', 'أصابتك', 'بد', 'تصيبك', 'مقتل']",غدر سكين مسنون إصاب بد صيب مقتل,"['غدر', 'سكين', 'مسنون', 'إصاب', 'بد', 'صيب', 'مقتل']"
الحب يتحمّل الموت والبعد أكثر ممّا يتحمّل الشك والغدر.,Sentiment: neutral,"['الحب', 'يتحمل', 'الموت', 'البعد', 'يتحمل', 'الشك', 'الغدر']",حب تحمل موت بعد تحمل شك غدر,"['حب', 'تحمل', 'موت', 'بعد', 'تحمل', 'شك', 'غدر']"
أكيس الكيس التقوى، وأحمق الحمق الفجور، وأصدق الصدق الأمانة، وأكذب الكذب الغدر.,Good Moral: الأمانة,"['أكيس', 'الكيس', 'التقوى', 'أحمق', 'الحمق', 'الفجور', 'أصدق', 'الصدق', 'الأمانة', 'أكذب', 'الكذب', 'الغدر']",أكيس كيس تقوى أحمق حمق فجور أصدق صدق أمان أكذب كذب غدر,"['أكيس', 'كيس', 'تقوى', 'أحمق', 'حمق', 'فجور', 'أصدق', 'صدق', 'أمان', 'أكذب', 'كذب', 'غدر']"
من حاول الغدر، وخلفَ الوعدِ عدا عليه الذمُّ بعد الحمدِ.,Sentiment: negative,"['حاول', 'الغدر', 'الوعد', 'الذم', 'الحمد']",حاول غدر وعد ذم حمد,"['حاول', 'غدر', 'وعد', 'ذم', 'حمد']"
الوفاء من شيم الكرام، والغدر من صفات اللئام.,Good Moral: وَفاء,"['الوفاا', 'شيم', 'الكرام', 'الغدر', 'صفات', 'اللئام']",الوفاا شيم كرام غدر صف لئام,"['الوفاا', 'شيم', 'كرام', 'غدر', 'صف', 'لئام']"
الغدر وليد الثقة العاق.,Sentiment: negative,"['الغدر', 'ليد', 'الثقة', 'العاق']",غدر يد ثق عاق,"['غدر', 'يد', 'ثق', 'عاق']"
لا فرق بين غدر الضمير وغدر الواقع إلّا في التنفيذ.,Sentiment: negative,"['فرق', 'غدر', 'الضمير', 'غدر', 'الواقع', 'التنفيذ']",فرق غدر ضمير غدر واقع تنفيذ,"['فرق', 'غدر', 'ضمير', 'غدر', 'واقع', 'تنفيذ']"
من المؤلم أن محاولات الغدر التي لا تنجح لا يجرؤ أحد على تسميتها غدر.,Sentiment: negative,"['المالم', 'محاولات', 'الغدر', 'تنجح', 'يجرا', 'تسميتها', 'غدر']",المالم محاول غدر نجح جر تسمي غدر,"['المالم', 'محاول', 'غدر', 'نجح', 'جر', 'تسمي', 'غدر']"
إنّ الغدر ليس يغسلُها من خاطئ دمع ولا ندمُ.,Sentiment: negative,"['الغدر', 'يغسلها', 'خاطئ', 'دمع', 'ندم']",غدر غسل خاطئ دمع ندم,"['غدر', 'غسل', 'خاطئ', 'دمع', 'ندم']"
قد يُغفر الغدر، ولا يُنسى.,Sentiment: negative,"['يغفر', 'الغدر', 'ينسى']",غفر غدر نسى,"['غفر', 'غدر', 'نسى']"
الغدر يقع ما إن يصبح فكرة.,Sentiment: negative,"['الغدر', 'يقع', 'يصبح', 'فكرة']",غدر قع صبح فكر,"['غدر', 'قع', 'صبح', 'فكر']"
لا خير في عيش تخوننا أوقاته وتغولنا مدده.,Sentiment: negative,"['خير', 'عيش', 'تخوننا', 'أوقاته', 'تغولنا', 'مدده']",خير عيش تخون أوقات غول مدد,"['خير', 'عيش', 'تخون', 'أوقات', 'غول', 'مدد']"
إنّ انشغال الناس بالجزئيات، والأمة تجتث من جذورها من أعظم الغدر لها وللمنهج الرباني الذي كلفنا بحمله.,Sentiment: negative,"['انشغال', 'الناس', 'بالجزئيات', 'الأمة', 'تجتث', 'جذورها', 'أعظم', 'الغدر', 'للمنهج', 'الرباني', 'كلفنا', 'بحمله']",ٱنشغال ناس جزئي ألأم جتث جذور أعظم غدر منهج رباني كلف حمل,"['ٱنشغال', 'ناس', 'جزئي', 'ألأم', 'جتث', 'جذور', 'أعظم', 'غدر', 'منهج', 'رباني', 'كلف', 'حمل']"
أخشى ما أخشاه أن يأتي اليوم الذي يصبح فيه الغدر وجهة نظر.,Sentiment: negative,"['أخشى', 'أخشاه', 'يأتي', 'اليوم', 'يصبح', 'الغدر', 'جهة', 'نظر']",خشي خشا أتي اليوم صبح غدر جه نظر,"['خشي', 'خشا', 'أتي', 'اليوم', 'صبح', 'غدر', 'جه', 'نظر']"
صار الغدر لعب هذه الأيام، وغربة الوطن هواية إجبارية.,Sentiment: negative,"['الغدر', 'لعب', 'الأيام', 'غربة', 'الوطن', 'هواية', 'إجبارية']",غدر لعب أيام غرب وطن هواي إجباري,"['غدر', 'لعب', 'أيام', 'غرب', 'وطن', 'هواي', 'إجباري']"
حقيقة الغدر عمل من اؤتمن على شيء بضد ما اؤتمن لأجله، بدون علم صاحب الأمانة.,Good Moral: الأمانة,"['حقيقة', 'الغدر', 'عمل', 'ااتمن', 'شيا', 'بضد', 'ااتمن', 'لأجله', 'بدون', 'صاحب', 'الأمانة']",حقيق غدر عمل ااتمن شي ضد ااتمن أجل بدو صاحب أمان,"['حقيق', 'غدر', 'عمل', 'ااتمن', 'شي', 'ضد', 'ااتمن', 'أجل', 'بدو', 'صاحب', 'أمان']"
أصعب شيء في حياتنا غدر الأصدقاء وطعنهم لنا.,Sentiment: negative,"['أصعب', 'شيا', 'حياتنا', 'غدر', 'الأصدقاا', 'طعنهم']",أصعب شي حي غدر الأصدقاا طع,"['أصعب', 'شي', 'حي', 'غدر', 'الأصدقاا', 'طع']"
يغدرُ الخلُّ إِن تكفل يوماً بوفاءٍ والغدرُ في الناسِ طَبْعُ.,Good Moral: وَفاء,"['يغدر', 'الخل', 'تكفل', 'يوما', 'بوفاا', 'الغدر', 'الناس', 'طبع']",غدر خل تكفل يوم بوفاا غدر ناس طبع,"['غدر', 'خل', 'تكفل', 'يوم', 'بوفاا', 'غدر', 'ناس', 'طبع']"
من كافأ الناس بالمكر كافؤوه بالغدر.,Sentiment: neutral,"['كافأ', 'الناس', 'بالمكر', 'كافاوه', 'بالغدر']",كاف ناس مكر كافأ غدر,"['كاف', 'ناس', 'مكر', 'كافأ', 'غدر']"
الغدر كالهواء يدلف إلى منازلنا بمجرد فتح الباب.,Sentiment: negative,"['الغدر', 'كالهواا', 'يدلف', 'منازلنا', 'بمجرد', 'فتح', 'الباب']",غدر كالهواا دلف منازل مجرد فتح ألباب,"['غدر', 'كالهواا', 'دلف', 'منازل', 'مجرد', 'فتح', 'ألباب']"
إنّ محاربة الإنسان بشراسة، وشدة لوجهة نظر لا يعرف عنها شيئاً هي الغدر الذهني بعينه.,Sentiment: negative,"['محاربة', 'الإنسان', 'بشراسة', 'شدة', 'لوجهة', 'نظر', 'يعرف', 'عنها', 'شيئا', 'الغدر', 'الذهني', 'بعينه']",محارب إنسان شراس شد وجه نظر عرف عن شيئ غدر ذهني عين,"['محارب', 'إنسان', 'شراس', 'شد', 'وجه', 'نظر', 'عرف', 'عن', 'شيئ', 'غدر', 'ذهني', 'عين']"
الغدر هي الجريمة التي يدفع ثمنها من لم يقترفها.,Sentiment: negative,"['الغدر', 'الجريمة', 'يدفع', 'ثمنها', 'يقترفها']",غدر جريم دفع ثمن قترف,"['غدر', 'جريم', 'دفع', 'ثمن', 'قترف']"
الغدر لا ينجح أبدا؛ لأنه حين ينجح نعطيه اسماً آخر.,Sentiment: negative,"['الغدر', 'ينجح', 'لأنه', 'ينجح', 'نعطيه', 'اسما', 'آخر']",غدر نجح لأن نجح عطي ٱسم آخر,"['غدر', 'نجح', 'لأن', 'نجح', 'عطي', 'ٱسم', 'آخر']"
ما أبشع أن تخون صديقاً، ولكنّ الأبشع هو أن تجد الغدر عليك سهلاً.,Sentiment: negative,"['أبشع', 'تخون', 'صديقا', 'الأبشع', 'تجد', 'الغدر', 'سهلا']",أبشع تخون صديق أبشع جد غدر سهل,"['أبشع', 'تخون', 'صديق', 'أبشع', 'جد', 'غدر', 'سهل']"
ليس ثمة أمر إلّا وفيه شيء من الغدر.,Sentiment: negative,"['أمر', 'شيا', 'الغدر']",آمر شي غدر,"['آمر', 'شي', 'غدر']"
يحترف الغدر، وأحترف الغفران.,Sentiment: negative,"['يحترف', 'الغدر', 'أحترف', 'الغفران']",حترف غدر ٱحترف غفران,"['حترف', 'غدر', 'ٱحترف', 'غفران']"
احذر غدر الفرح فخيانته قاسية.,Blameworthy Moral: خِيان,"['احذر', 'غدر', 'الفرح', 'فخيانته', 'قاسية']",حذر غدر فرح خيان قاس,"['حذر', 'غدر', 'فرح', 'خيان', 'قاس']"
إنّ الغدر ليس يغسله من خاطئ دمع، ولا ندم.,Sentiment: negative,"['الغدر', 'يغسله', 'خاطئ', 'دمع', 'ندم']",غدر غسل خاطئ دمع ندم,"['غدر', 'غسل', 'خاطئ', 'دمع', 'ندم']"
لقد علّمتني حياة الكتابة أن أرتاب من الكلمات، فأكثرها شفافية غالبا ما يكون أكثر غدراً.,Sentiment: positive,"['لقد', 'علمتني', 'حياة', 'الكتابة', 'أرتاب', 'الكلمات', 'فأكثرها', 'شفافية', 'يكون', 'غدرا']",لقد علم حي كتاب ٱرتاب كلم أكثر شفاف يكون غدر,"['لقد', 'علم', 'حي', 'كتاب', 'ٱرتاب', 'كلم', 'أكثر', 'شفاف', 'يكون', 'غدر']"
نكران الجميل غدر للسرف والأمانة.,Good Moral: الأمانة,"['نكران', 'الجميل', 'غدر', 'للسرف', 'الأمانة']",نكر جميل غدر سرف أمان,"['نكر', 'جميل', 'غدر', 'سرف', 'أمان']"
أدِّ الأمانة، والغدر فاجتنب.. واعدل ولا تظلم يطيب المكسب.,Good Moral: الأمانة,"['أد', 'الأمانة', 'الغدر', 'فاجتنب', 'اعدل', 'تظلم', 'يطيب', 'المكسب']",أد أمان غدر ٱجتنب أعدل تظلم طيب مكسب,"['أد', 'أمان', 'غدر', 'ٱجتنب', 'أعدل', 'تظلم', 'طيب', 'مكسب']"
أعرف كلّ شيء عن الغدر، فقد تزوجت ستة زيجات ناجحة جداً.,Sentiment: negative,"['أعرف', 'شيا', 'الغدر', 'فقد', 'تزوجت', 'زيجات', 'ناجحة', 'جدا']",أعرف شي غدر فقد تزوج زيج ناجح جد,"['أعرف', 'شي', 'غدر', 'فقد', 'تزوج', 'زيج', 'ناجح', 'جد']"
وهل الغدر والهروب من مفردات لغة القلوب، أم أنّ الطيور على أشكالها تقع.,Sentiment: negative,"['الغدر', 'الهروب', 'مفردات', 'لغة', 'القلوب', 'الطيور', 'أشكالها', 'تقع']",غدر هروب مفرد لغ قلوب طيور إشكال قع,"['غدر', 'هروب', 'مفرد', 'لغ', 'قلوب', 'طيور', 'إشكال', 'قع']"
الغدر صفة لا تُخسر الإنسان مَن خانهم وحسب، بل تخسره ما هو أغلى من ذلك بكثير.. إنّه يفقد احترام نفسه ببساطة.,Blameworthy Moral: ذُلّ,"['الغدر', 'صفة', 'تخسر', 'الإنسان', 'خانهم', 'تخسره', 'أغلى', 'بكثير', 'يفقد', 'احترام', 'نفسه', 'ببساطة']",غدر صف خسر إنسان خان خسر أغلى كثير فقد ٱحترام نفس بساط,"['غدر', 'صف', 'خسر', 'إنسان', 'خان', 'خسر', 'أغلى', 'كثير', 'فقد', 'ٱحترام', 'نفس', 'بساط']"
الغدر سهم قاتل لا بدّ أن يردّ لصاحبه يوماً.,Sentiment: negative,"['الغدر', 'سهم', 'قاتل', 'بد', 'يرد', 'لصاحبه', 'يوما']",غدر سهم قاتل بد رد صاحب يوم,"['غدر', 'سهم', 'قاتل', 'بد', 'رد', 'صاحب', 'يوم']"
إذا كان الغدر في الناس موجوداً، فالثقة بحفظ الله لك سلامة من كلّ شر.,Sentiment: positive,"['الغدر', 'الناس', 'موجودا', 'فالثقة', 'بحفظ', 'الله', 'سلامة', 'شر']",غدر ناس موجود ثق حفظ الله سلام شر,"['غدر', 'ناس', 'موجود', 'ثق', 'حفظ', 'الله', 'سلام', 'شر']"
لا تسألني عن الغدر، فأنا لا أعتقد أن هناك كلمات قادرة على وصفها.,Sentiment: negative,"['تسألني', 'الغدر', 'فأنا', 'أعتقد', 'كلمات', 'قادرة', 'صفها']",تسأل غدر آن ٱعتقد كلم قادر صف,"['تسأل', 'غدر', 'آن', 'ٱعتقد', 'كلم', 'قادر', 'صف']"
تصلك الطعنات ممن كان يحمي ظهرك ويحرسه ممن كان في يوم يدعي الصداقة والأخوة.,Sentiment: negative,"['تصلك', 'الطعنات', 'يحمي', 'ظهرك', 'يحرسه', 'يوم', 'يدعي', 'الصداقة', 'الأخوة']",صل طعن حمي ظهر حرس يوم دعى صداق إخو,"['صل', 'طعن', 'حمي', 'ظهر', 'حرس', 'يوم', 'دعى', 'صداق', 'إخو']"
الحب الصادق كالقمر عندما يكون بدراً، والكسوف هو نهايته عندما يُلاقي غدراً.,Sentiment: positive,"['الحب', 'الصادق', 'كالقمر', 'عندما', 'يكون', 'بدرا', 'الكسوف', 'نهايته', 'عندما', 'يلاقي', 'غدرا']",حب صادق قمر عندم يكون بدر كسوف نهاي عندم لاقي غدر,"['حب', 'صادق', 'قمر', 'عندم', 'يكون', 'بدر', 'كسوف', 'نهاي', 'عندم', 'لاقي', 'غدر']"
نكران الجميل غدر للشرف والأمانة.,Good Moral: الأمانة,"['نكران', 'الجميل', 'غدر', 'للشرف', 'الأمانة']",نكر جميل غدر شرف أمان,"['نكر', 'جميل', 'غدر', 'شرف', 'أمان']"
بعد أن غدر بها حبيبها قالوا لها: كيف لم تكتشفي أنّه كاذب، ومخادع، ت لهم: كُنت أرى ولا أُبصر.,Sentiment: negative,"['غدر', 'حبيبها', 'قالوا', 'تكتشفي', 'أنه', 'كاذب', 'مخادع', 'كنت', 'أبصر']",غدر حبيب قال كتشف آن كاذب مخادع كن أبصر,"['غدر', 'حبيب', 'قال', 'كتشف', 'آن', 'كاذب', 'مخادع', 'كن', 'أبصر']"
يصعب على المرء أن يتوقّع الغدر والخيانة إن كان يملك قلباً أبيضاً لا يعرف الخبث.,Blameworthy Moral: خِيان,"['يصعب', 'المرا', 'يتوقع', 'الغدر', 'الخيانة', 'يملك', 'قلبا', 'أبيضا', 'يعرف', 'الخبث']",صعب مرآ توقع غدر خيان مل قلب أبيض عرف خبث,"['صعب', 'مرآ', 'توقع', 'غدر', 'خيان', 'مل', 'قلب', 'أبيض', 'عرف', 'خبث']"
الإنسان الغدّار يقف مكتوف الأيدي، ورغم ذلك يمسك العصا بذراعه.,Blameworthy Moral: ذُلّ,"['الإنسان', 'الغدار', 'يقف', 'مكتوف', 'الأيدي', 'رغم', 'يمسك', 'العصا', 'بذراعه']",إنسان غدار قف مكتوف أيدي رغم مس عصا ذراع,"['إنسان', 'غدار', 'قف', 'مكتوف', 'أيدي', 'رغم', 'مس', 'عصا', 'ذراع']"
عندما تأتي الأسود للشرب تفسح لها الغزلان الطريق دون أن تفرّ، إذ إنّ للافتراس وقتاً ونذراً، وللحياة العادية وقت ونذر ويبدو أنّ الغدر شيمة بشريّة محضة.,Sentiment: neutral,"['عندما', 'تأتي', 'الأسود', 'للشرب', 'تفسح', 'الغزلان', 'الطريق', 'تفر', 'للافتراس', 'قتا', 'نذرا', 'للحياة', 'العادية', 'قت', 'نذر', 'يبدو', 'الغدر', 'شيمة', 'بشرية', 'محضة']",عندم تأتى أسود شرب تفسح غزلان طريق فر ٱفتراس قت نذر لحي عادي قت نذر بدو غدر شيم بشري محض,"['عندم', 'تأتى', 'أسود', 'شرب', 'تفسح', 'غزلان', 'طريق', 'فر', 'ٱفتراس', 'قت', 'نذر', 'لحي', 'عادي', 'قت', 'نذر', 'بدو', 'غدر', 'شيم', 'بشري', 'محض']"
لا تسألني عن الغدر، فلا أعتقد أنّ هناك كلمات قادرة على وصفه لبشاعته.,Sentiment: negative,"['تسألني', 'الغدر', 'أعتقد', 'كلمات', 'قادرة', 'صفه', 'لبشاعته']",تسأل غدر ٱعتقد كلم قادر صف بشاع,"['تسأل', 'غدر', 'ٱعتقد', 'كلم', 'قادر', 'صف', 'بشاع']"
أكثر ما يؤلم في الغدر هو أنَّه لا يأتي من الأعداء بل من المقرّبين.,Sentiment: negative,"['يالم', 'الغدر', 'أنه', 'يأتي', 'الأعداا', 'المقربين']",ألم غدر آن أتي الأعداا مقرب,"['ألم', 'غدر', 'آن', 'أتي', 'الأعداا', 'مقرب']"
نبذل في بعض الأحيان مجهوداً جباراً لكي نتعافى من الغدر، ولا نتمكّن من ذلك في آخر المطاف.,Blameworthy Moral: ذُلّ,"['نبذل', 'الأحيان', 'مجهودا', 'جبارا', 'نتعافى', 'الغدر', 'نتمكن', 'آخر', 'المطاف']",بذل أحيان مجهود جبار تعافى غدر تم آخر مطاف,"['بذل', 'أحيان', 'مجهود', 'جبار', 'تعافى', 'غدر', 'تم', 'آخر', 'مطاف']"
تعبت قلبي يا صديقي، فوجع غدرك قسمني فأسفاً على زمن ضاع كنت فيه أعز الصحاب.,Sentiment: negative,"['تعبت', 'قلبي', 'صديقي', 'فوجع', 'غدرك', 'قسمني', 'فأسفا', 'زمن', 'ضاع', 'كنت', 'أعز', 'الصحاب']",تعب قلب صديق وجع غدر قسم آسف زم ضاع كن أعز الصحاب,"['تعب', 'قلب', 'صديق', 'وجع', 'غدر', 'قسم', 'آسف', 'زم', 'ضاع', 'كن', 'أعز', 'الصحاب']"
لو كان الاستبداد رجلاً وأراد أن ينتسب، لقال: أنا الشرّ، وأبي الظلم، وأمي الإساءة، وأخي الغدر، وأختي المسكنة، وعمي الضر، وخالي الذل، وابني الفقر، وابنتي البطالة، ووطني الخراب، وعشيرتي الجَهالة.,Blameworthy Moral: الإساءة,"['الاستبداد', 'رجلا', 'أراد', 'ينتسب', 'لقال', 'الشر', 'أبي', 'الظلم', 'أمي', 'الإسااة', 'أخي', 'الغدر', 'أختي', 'المسكنة', 'عمي', 'الضر', 'خالي', 'الذل', 'ابني', 'الفقر', 'ابنتي', 'البطالة', 'وطني', 'الخراب', 'عشيرتي', 'الجهالة']",ٱستبداد رجل أراد نتسب قال شر آب ظلم أم الإسااة أخي غدر أخت مسكن عم ضر خال ذل آب فقر ٱبن بطال وطن خراب عشير جهال,"['ٱستبداد', 'رجل', 'أراد', 'نتسب', 'قال', 'شر', 'آب', 'ظلم', 'أم', 'الإسااة', 'أخي', 'غدر', 'أخت', 'مسكن', 'عم', 'ضر', 'خال', 'ذل', 'آب', 'فقر', 'ٱبن', 'بطال', 'وطن', 'خراب', 'عشير', 'جهال']"
غدر الصديق سكين تصيب القلب فلا يبرأ من ألمه، يتقلّب ويتقلّب فلا هو بالغفران شفي، ولا بالنسيان هدأ.,Good Moral: سِكِّين,"['غدر', 'الصديق', 'سكين', 'تصيب', 'القلب', 'يبرأ', 'ألمه', 'يتقلب', 'يتقلب', 'بالغفران', 'شفي', 'بالنسيان', 'هدأ']",غدر صديق سكين صيب قلب بر ألم تقلب تقلب غفران شف نسيان هد,"['غدر', 'صديق', 'سكين', 'صيب', 'قلب', 'بر', 'ألم', 'تقلب', 'تقلب', 'غفران', 'شف', 'نسيان', 'هد']"
الأصدقاء نوعان: صديق لا تنسى فضله طول حياتك، وصديق لا تنسى غدره ليوم مماتك، فاللّهم إنّي أعوذ بك من خيانة الصديق وغدره.,Blameworthy Moral: خِيان,"['الأصدقاا', 'نوعان', 'صديق', 'تنسى', 'فضله', 'طول', 'حياتك', 'صديق', 'تنسى', 'غدره', 'ليوم', 'مماتك', 'فاللهم', 'أعوذ', 'خيانة', 'الصديق', 'غدره']",الأصدقاا نوع صديق تنس فضل طول حي صديق تنس غدر يوم ممات اللهم عوذ خيان صديق غدر,"['الأصدقاا', 'نوع', 'صديق', 'تنس', 'فضل', 'طول', 'حي', 'صديق', 'تنس', 'غدر', 'يوم', 'ممات', 'اللهم', 'عوذ', 'خيان', 'صديق', 'غدر']"
إيّاك والرضى عن نفسك فإنّه يضطرك إلى الخمول، وإيّاك والعجب فإنّه يورّطك في الحمق، وإيّاك والغدر فإنّه والمروءة لا يجتمعان أبداً.,Blameworthy Moral: عَجَب,"['الرضى', 'نفسك', 'فإنه', 'يضطرك', 'الخمول', 'العجب', 'فإنه', 'يورطك', 'الحمق', 'الغدر', 'فإنه', 'المرواة', 'يجتمعان']",رضي نفس آن ضطر خمول عجب آن ورط حمق غدر آن المرواة جتمع,"['رضي', 'نفس', 'آن', 'ضطر', 'خمول', 'عجب', 'آن', 'ورط', 'حمق', 'غدر', 'آن', 'المرواة', 'جتمع']"
أعلّمه الرماية كلّ يومٍ فلمّا اشتدّ ساعده رماني، وكم علّمته نظم القوافي فلمّا قال قافيةً هجاني... أعلّمه الفتوّة كل وقتٍ فلمّا طرّ شاربه جفاني.,Sentiment: neutral,"['أعلمه', 'الرماية', 'يوم', 'فلما', 'اشتد', 'ساعده', 'رماني', 'علمته', 'نظم', 'القوافي', 'فلما', 'قال', 'قافية', 'هجاني', 'أعلمه', 'الفتوة', 'قت', 'فلما', 'طر', 'شاربه', 'جفاني']",أعلم رماي يوم فلم ٱشتد ساعد رم علم نظم قوافي فلم قال قاف هج أعلم ألفت قت فلم طر شارب جف,"['أعلم', 'رماي', 'يوم', 'فلم', 'ٱشتد', 'ساعد', 'رم', 'علم', 'نظم', 'قوافي', 'فلم', 'قال', 'قاف', 'هج', 'أعلم', 'ألفت', 'قت', 'فلم', 'طر', 'شارب', 'جف']"
يرى الناجح حلًّا لكل مشكلة، أمّا الفاشل فيرى المشكلة في كلّ حل.,Sentiment: positive,"['يرى', 'الناجح', 'حلا', 'لكل', 'مشكلة', 'الفاشل', 'فيرى', 'المشكلة', 'حل']",ري ناجح حل كل مشكل فاشل ري مشكل حل,"['ري', 'ناجح', 'حل', 'كل', 'مشكل', 'فاشل', 'ري', 'مشكل', 'حل']"
إذا تمالكت أعصابك في لحظة غضب واحدة، فستوفر على نفسك أياماً من الحزن واليأس.,Sentiment: positive,"['تمالكت', 'أعصابك', 'لحظة', 'غضب', 'احدة', 'فستوفر', 'نفسك', 'أياما', 'الحزن', 'اليأس']",تمالك أعصاب لحظ غضب أحد وفر نفس أيام حزن إلياس,"['تمالك', 'أعصاب', 'لحظ', 'غضب', 'أحد', 'وفر', 'نفس', 'أيام', 'حزن', 'إلياس']"
ستكون ناجحاً عندما تبتعد عن اليأس، وتمنح الحب للمكروهين، وتقدّم الخير للحاقدين، وتكون كريماً مع المحتاجين.,Sentiment: positive,"['ستكون', 'ناجحا', 'عندما', 'تبتعد', 'اليأس', 'تمنح', 'الحب', 'للمكروهين', 'تقدم', 'الخير', 'للحاقدين', 'تكون', 'كريما', 'المحتاجين']",كون ناجح عندم بتعد إلياس منح حب مكروه تقدم خير حاقد تكون كريم محتاج,"['كون', 'ناجح', 'عندم', 'بتعد', 'إلياس', 'منح', 'حب', 'مكروه', 'تقدم', 'خير', 'حاقد', 'تكون', 'كريم', 'محتاج']"
اليأس يقتل كل شيء، اليأس موت بلا بعث، فلا تيأس لتنجح.,Sentiment: neutral,"['اليأس', 'يقتل', 'شيا', 'اليأس', 'موت', 'بلا', 'بعث', 'تيأس', 'لتنجح']",إلياس قتل شي إلياس موت بل بعث يأس نجح,"['إلياس', 'قتل', 'شي', 'إلياس', 'موت', 'بل', 'بعث', 'يأس', 'نجح']"
خُلِقتَ لنَفسِك أولًا وليسَ للعَابِرين، يَجِب عَليكَ أنْ تتَلذّذ بنِعمَةِ الاكتِفَاء بذَاتِك.,Sentiment: positive,"['خلقت', 'لنفسك', 'أولا', 'للعابرين', 'يجب', 'تتلذذ', 'بنعمة', 'الاكتفاا', 'بذاتك']",خلق نفس أول عابر جب تلذذ نعم الاكتفاا بذأ,"['خلق', 'نفس', 'أول', 'عابر', 'جب', 'تلذذ', 'نعم', 'الاكتفاا', 'بذأ']"
هناك أوقات نشعر فيها أنّها النهاية، ثمّ نكتشف أنّها البداية وهناك أبواباً نشعر أنها مغلقة، ثم نكتشف أنّها المدخل الحقيقي للنجاح.,Sentiment: positive,"['أوقات', 'نشعر', 'أنها', 'النهاية', 'نكتشف', 'أنها', 'البداية', 'أبوابا', 'نشعر', 'أنها', 'مغلقة', 'نكتشف', 'أنها', 'المدخل', 'الحقيقي', 'للنجاح']",أوقات شعر آن نهاي كتشف آن بداي أبواب شعر آن مغلق كتشف آن مدخل حقيقي نجاح,"['أوقات', 'شعر', 'آن', 'نهاي', 'كتشف', 'آن', 'بداي', 'أبواب', 'شعر', 'آن', 'مغلق', 'كتشف', 'آن', 'مدخل', 'حقيقي', 'نجاح']"
مهما طال أي شي فلن يستمرَ للأبد، فتعامل مع الأيام وكأنّ كل يوم هو بالنسبة لكَ يوم جديد.,Sentiment: positive,"['طال', 'شي', 'فلن', 'يستمر', 'للأبد', 'فتعامل', 'الأيام', 'يوم', 'بالنسبة', 'يوم', 'جديد']",طال شي فل ستمر أبد تعامل أيام يوم نسب يوم جديد,"['طال', 'شي', 'فل', 'ستمر', 'أبد', 'تعامل', 'أيام', 'يوم', 'نسب', 'يوم', 'جديد']"
لا يصحُ أن يهيمنَ يأسك على اختياراتك، أو ردود أفعالك.,Sentiment: neutral,"['يصح', 'يهيمن', 'يأسك', 'اختياراتك', 'ردود', 'أفعالك']",صح هيم يأس ٱختيار ردود أفعال,"['صح', 'هيم', 'يأس', 'ٱختيار', 'ردود', 'أفعال']"
