Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation,Stemmed_tokens2,Stemmed_tokenss
أعظم الناس من يحمل في قلبه مستودعا من الأسرار التي ثقُلت فما حملها استطاع أصحابها، وفي قلبه هذا متّسع للمزيد دوما، فهو يعلم أنّ في الإصغاء للمكلوم جبراً للخواطر، وأنّ من سار جابراً لقلوب لناس أدركه الله في جوف المخاطر، ذلك هو طبيب القلوب وبلسمها، يحمل أسرار الناس ويحفظها بروحه كما يحفظ أسراره، متعهداً حفظها بروحه مهما كلّف الأمر.,Blameworthy Moral: ذُلّ,"['أعظم', 'الناس', 'يحمل', 'قلبه', 'مستودعا', 'الأسرار', 'ثقلت', 'فما', 'حملها', 'استطاع', 'أصحابها', 'قلبه', 'متسع', 'للمزيد', 'دوما', 'فهو', 'يعلم', 'الإصغاا', 'للمكلوم', 'جبرا', 'للخواطر', 'سار', 'جابرا', 'لقلوب', 'لناس', 'أدركه', 'الله', 'جوف', 'المخاطر', 'طبيب', 'القلوب', 'بلسمها', 'يحمل', 'أسرار', 'الناس', 'يحفظها', 'بروحه', 'يحفظ', 'أسراره', 'متعهدا', 'حفظها', 'بروحه', 'كلف', 'الأمر']",أعظم ناس حمل قلب مستودع أسرار ثقل فم حمل ٱستطاع أصحاب قلب متسع مزيد دوم هو علم الإصغاا للمكلوم جبر خواطر سار جابر قلوب ناس أدرك الله جوف مخاطر طبيب قلوب بلسم حمل أسرار ناس حفظ روح حفظ أسرار متعهد حفظ روح كلف آمر,"['أعظم', 'ناس', 'حمل', 'قلب', 'مستودع', 'أسرار', 'ثقل', 'فم', 'حمل', 'ٱستطاع', 'أصحاب', 'قلب', 'متسع', 'مزيد', 'دوم', 'هو', 'علم', 'الإصغاا', 'للمكلوم', 'جبر', 'خواطر', 'سار', 'جابر', 'قلوب', 'ناس', 'أدرك', 'الله', 'جوف', 'مخاطر', 'طبيب', 'قلوب', 'بلسم', 'حمل', 'أسرار', 'ناس', 'حفظ', 'روح', 'حفظ', 'أسرار', 'متعهد', 'حفظ', 'روح', 'كلف', 'آمر']","['أَعْظَم', 'ناس', 'حَمْل', 'قَلَّب', 'مُسْتَوْدَع', 'أَسْرار', 'ثَقَّل', 'فَم', 'حَمْل', 'ٱِسْتَطاع', 'أَصْحاب', 'قَلَّب', 'مُتَّسَع', 'مَزِيد', 'دَوْم', 'هُو', 'عِلْم', 'الإصغاا', 'للمكلوم', 'جَبْر', 'خَواطِر', 'سارّ', 'جابِر', 'قُلُوب', 'ناس', 'أَدَرّ', 'اللّٰه', 'جَوَّف', 'مُخاطِر', 'طَبِيب', 'قُلُوب', 'بَلْسَم', 'حَمْل', 'أَسْرار', 'ناس', 'حِفْظ', 'رُوح', 'حِفْظ', 'أَسْرار', 'مُتَعَهِّد', 'حِفْظ', 'رُوح', 'كَلَّف', 'آمِر']",أَعْظَم ناس حَمْل قَلَّب مُسْتَوْدَع أَسْرار ثَقَّل فَم حَمْل ٱِسْتَطاع أَصْحاب قَلَّب مُتَّسَع مَزِيد دَوْم هُو عِلْم الإصغاا للمكلوم جَبْر خَواطِر سارّ جابِر قُلُوب ناس أَدَرّ اللّٰه جَوَّف مُخاطِر طَبِيب قُلُوب بَلْسَم حَمْل أَسْرار ناس حِفْظ رُوح حِفْظ أَسْرار مُتَعَهِّد حِفْظ رُوح كَلَّف آمِر
اتّباع التقاليد لا يعني أنّ الاموات أحياء، بل يعني أنّ الأحياء أموات.,Sentiment: neutral,"['اتباع', 'التقاليد', 'يعني', 'الاموات', 'أحياا', 'يعني', 'الأحياا', 'أموات']",ٱتباع تقاليد عني أمو أحياا عني الأحياا أمو,"['ٱتباع', 'تقاليد', 'عني', 'أمو', 'أحياا', 'عني', 'الأحياا', 'أمو']","['ٱِتِّباع', 'تَقالِيد', 'عَن', 'أمو', 'أحياا', 'عَن', 'الأحياا', 'أمو']",ٱِتِّباع تَقالِيد عَن أمو أحياا عَن الأحياا أمو
المغلوب مولع دائماً بتقليد الغالب.,Sentiment: negative,"['المغلوب', 'مولع', 'دائما', 'بتقليد', 'الغالب']",مغلوب مولع دائم تقليد غالب,"['مغلوب', 'مولع', 'دائم', 'تقليد', 'غالب']","['مَغْلُوب', 'مُولَع', 'دائِم', 'تَقْلِيد', 'غالِب']",مَغْلُوب مُولَع دائِم تَقْلِيد غالِب
لا يتمّ وجود الخير الكثير إلا بوجود شر يسير.,Sentiment: negative,"['يتم', 'جود', 'الخير', 'الكثير', 'بوجود', 'شر', 'يسير']",يتم جود خير كثير وجود شر يسير,"['يتم', 'جود', 'خير', 'كثير', 'وجود', 'شر', 'يسير']","['يَتُم', 'جود', 'خَيْر', 'كَثِير', 'وُجُود', 'شَرّ', 'يَسِير']",يَتُم جود خَيْر كَثِير وُجُود شَرّ يَسِير
قمّة الأدب أن تنصت إلى شخص يحدثك في أمر أنت تعرفة جيداً وهو يجهله.,Sentiment: negative,"['قمة', 'الأدب', 'تنصت', 'شخص', 'يحدثك', 'أمر', 'تعرفة', 'جيدا', 'يجهله']",قم أدب تنصت شخص حدث آمر تعرف جيد جهل,"['قم', 'أدب', 'تنصت', 'شخص', 'حدث', 'آمر', 'تعرف', 'جيد', 'جهل']","['قَمّ', 'أَدْب', 'تَنَصُّت', 'شَخْص', 'حَدَث', 'آمِر', 'تَعَرُّف', 'جَيِّد', 'جَهَّل']",قَمّ أَدْب تَنَصُّت شَخْص حَدَث آمِر تَعَرُّف جَيِّد جَهَّل
كوارث الدنيا بسبب أنّنا نقول نعم بسرعة، ولا نقول لا ببطء.,Sentiment: negative,"['كوارث', 'الدنيا', 'بسبب', 'أننا', 'نقول', 'بسرعة', 'نقول', 'ببطا']",كوارث دنيا سبب آن نقول سرع نقول ببطا,"['كوارث', 'دنيا', 'سبب', 'آن', 'نقول', 'سرع', 'نقول', 'ببطا']","['كَوارِث', 'دَنَّي', 'سَبَب', 'أَن', 'نُقُول', 'سَرَّع', 'نُقُول', 'ببطا']",كَوارِث دَنَّي سَبَب أَن نُقُول سَرَّع نُقُول ببطا
إنّ الإنسان إذا طال به التهميش يصبح كالبهيمة، لا يهمّه سوى الأكل، والشرب، والغريزة.,Sentiment: positive,"['الإنسان', 'طال', 'التهميش', 'يصبح', 'كالبهيمة', 'يهمه', 'الأكل', 'الشرب', 'الغريزة']",إنسان طال تهميش صبح بهيم هم أكل شرب غريز,"['إنسان', 'طال', 'تهميش', 'صبح', 'بهيم', 'هم', 'أكل', 'شرب', 'غريز']","['أَنْسَأ', 'طال', 'تَهْمِيش', 'صُبْح', 'بَهِيم', 'هُم', 'أَكَل', 'شَرِب', 'غريز']",أَنْسَأ طال تَهْمِيش صُبْح بَهِيم هُم أَكَل شَرِب غريز
شعور الإنسان بجهله ضرب من ضروب المعرفة.,Sentiment: neutral,"['شعور', 'الإنسان', 'بجهله', 'ضرب', 'ضروب', 'المعرفة']",شعور إنسان جهل ضرب ضروب معرف,"['شعور', 'إنسان', 'جهل', 'ضرب', 'ضروب', 'معرف']","['شُعُور', 'أَنْسَأ', 'جَهَّل', 'ضَرْب', 'ضُرُوب', 'معرف']",شُعُور أَنْسَأ جَهَّل ضَرْب ضُرُوب معرف
إذا فسد الإنسان في قدرته، ثمّ في أخلاقه ودينه، فسدت إنسانيته، وصار مسخاً على الحقيقة.,Sentiment: negative,"['فسد', 'الإنسان', 'قدرته', 'أخلاقه', 'دينه', 'فسدت', 'إنسانيته', 'مسخا', 'الحقيقة']",فسد إنسان قدر أخلاق دين فسد إنساني مسخ حقيق,"['فسد', 'إنسان', 'قدر', 'أخلاق', 'دين', 'فسد', 'إنساني', 'مسخ', 'حقيق']","['فَسَد', 'أَنْسَأ', 'قَدَر', 'أَخْلاق', 'دِين', 'فَسَد', 'أَنَّس', 'مَسْخ', 'حَقِيق']",فَسَد أَنْسَأ قَدَر أَخْلاق دِين فَسَد أَنَّس مَسْخ حَقِيق
إذا أردت أن تعرف الإنسان فانظر من يصاحب، فالطباع يَسرق بعضها من بعض فترى أننا نأخذ من طباع بعضنا دون أن نشعر.,Sentiment: neutral,"['أردت', 'تعرف', 'الإنسان', 'فانظر', 'يصاحب', 'فالطباع', 'يسرق', 'بعضها', 'فترى', 'أننا', 'نأخذ', 'طباع', 'بعضنا', 'نشعر']",أرد تعرف إنسان أنظر صاحب طباع سرق بعض فتر آن أخذ طباع بعض شعر,"['أرد', 'تعرف', 'إنسان', 'أنظر', 'صاحب', 'طباع', 'سرق', 'بعض', 'فتر', 'آن', 'أخذ', 'طباع', 'بعض', 'شعر']","['أَرَدّ', 'تَعَرُّف', 'أَنْسَأ', 'أُنْظُر', 'صاحِب', 'طِباع', 'سَرَق', 'بَعَّض', 'فَتَر', 'أَن', 'آخَذ', 'طِباع', 'بَعَّض', 'شَعَر']",أَرَدّ تَعَرُّف أَنْسَأ أُنْظُر صاحِب طِباع سَرَق بَعَّض فَتَر أَن آخَذ طِباع بَعَّض شَعَر
أن يكرهك الناس لصراحتك، خير لك من أن يحبوك لنفاقك.,Blameworthy Moral: نِفاق,"['يكرهك', 'الناس', 'لصراحتك', 'خير', 'يحبوك', 'لنفاقك']",كره ناس صراح خير حب نفاق,"['كره', 'ناس', 'صراح', 'خير', 'حب', 'نفاق']","['كُر', 'ناس', 'صُراح', 'خَيْر', 'حُبّ', 'نِفاق']",كُر ناس صُراح خَيْر حُبّ نِفاق
الذي يفكر هو الذي على قيد الحياة.,Sentiment: neutral,"['يفكر', 'قيد', 'الحياة']",فكر قيد ألحي,"['فكر', 'قيد', 'ألحي']","['فِكْر', 'قَيْد', 'أَلْحَى']",فِكْر قَيْد أَلْحَى
لن يحظى بالسعادة إلّا الخيِّرون من الناس، ولا يكون المرء خيِّراً إلّا بتحلّيه بقدر من الفضيلة.,Sentiment: positive,"['يحظى', 'بالسعادة', 'الخيرون', 'الناس', 'يكون', 'المرا', 'خيرا', 'بتحليه', 'بقدر', 'الفضيلة']",حظى سعاد الخيرون ناس يكون مرآ خير تحلي قدر فضيل,"['حظى', 'سعاد', 'الخيرون', 'ناس', 'يكون', 'مرآ', 'خير', 'تحلي', 'قدر', 'فضيل']","['حَظّ', 'سُعاد', 'الخيرون', 'ناس', 'يَكُون', 'مَرّ', 'خَيْر', 'تَحَلِّي', 'قَدَر', 'فَضِيل']",حَظّ سُعاد الخيرون ناس يَكُون مَرّ خَيْر تَحَلِّي قَدَر فَضِيل
الجاهل يؤكِّد، والعالم يشك، والعاقل يتروّى.,Sentiment: negative,"['الجاهل', 'ياكد', 'العالم', 'يشك', 'العاقل', 'يتروى']",جاهل ياكد عالم شك عاقل تروى,"['جاهل', 'ياكد', 'عالم', 'شك', 'عاقل', 'تروى']","['جاهِل', 'ياكد', 'عالَم', 'شِكّ', 'عاقِل', 'تَرَوَّى']",جاهِل ياكد عالَم شِكّ عاقِل تَرَوَّى
مَن يقع في حب نفسه يأمن المنافقين.َ,Sentiment: positive,"['يقع', 'حب', 'نفسه', 'يأمن', 'المنافقين']",قع حب نفس أمن منافق,"['قع', 'حب', 'نفس', 'أمن', 'منافق']","['قع', 'حُبّ', 'نَفَس', 'أَمِن', 'مُنافِق']",قع حُبّ نَفَس أَمِن مُنافِق
عندما تكون مرفوضاً، ومكروهاً، ومهملاً، ومنسياً من الجميع، فإنّ هذا جوع أعظم، وفقر أكبر من جوع أي إنسان ليس لديه ما يأكله.,Sentiment: positive,"['عندما', 'تكون', 'مرفوضا', 'مكروها', 'مهملا', 'منسيا', 'الجميع', 'جوع', 'أعظم', 'فقر', 'أكبر', 'جوع', 'إنسان', 'لديه', 'يأكله']",عندم تكون مرفوض مكر مهمل منسي جميع جوع أعظم فقر أكبر جوع أنسأ لد أكل,"['عندم', 'تكون', 'مرفوض', 'مكر', 'مهمل', 'منسي', 'جميع', 'جوع', 'أعظم', 'فقر', 'أكبر', 'جوع', 'أنسأ', 'لد', 'أكل']","['عَنْدَم', 'تَكَوَّن', 'مَرْفُوض', 'مُكْر', 'مُهْمَل', 'مَنْسِيّ', 'جَمِيع', 'جُوع', 'أَعْظَم', 'فَقُر', 'أَكْبَر', 'جُوع', 'آنَس', 'لِدّ', 'أَكَل']",عَنْدَم تَكَوَّن مَرْفُوض مُكْر مُهْمَل مَنْسِيّ جَمِيع جُوع أَعْظَم فَقُر أَكْبَر جُوع آنَس لِدّ أَكَل
أن يحب المرء يعني أنّه يتمتع، في حين أنّه يتمتع إذا كان محبوباً.,Sentiment: positive,"['يحب', 'المرا', 'يعني', 'أنه', 'يتمتع', 'أنه', 'يتمتع', 'محبوبا']",حب مرآ عني آن تمتع آن تمتع محبوب,"['حب', 'مرآ', 'عني', 'آن', 'تمتع', 'آن', 'تمتع', 'محبوب']","['حُبّ', 'مَرّ', 'عَن', 'أَن', 'تَمَتُّع', 'أَن', 'تَمَتُّع', 'مَحْبُوب']",حُبّ مَرّ عَن أَن تَمَتُّع أَن تَمَتُّع مَحْبُوب
لو أنّ العدو الداخلي ليس له وجود، فالعدو الخارجي لا يستطيع إيذائك، بمعنى أنّ اكبر عدو للانسان هو نفسه، فكما قال ارسطو: مشاكلي مع نفسي تتعدّى بمراحل مشاكلي مع أي مخلوق آخر.,Sentiment: negative,"['العدو', 'الداخلي', 'جود', 'فالعدو', 'الخارجي', 'يستطيع', 'إيذائك', 'بمعنى', 'اكبر', 'عدو', 'للانسان', 'نفسه', 'فكما', 'قال', 'ارسطو', 'مشاكلي', 'نفسي', 'تتعدى', 'بمراحل', 'مشاكلي', 'مخلوق', 'آخر']",عدو داخلي جود عدو خارجي ستطيع إيذائ معني أكبر عدو إنسان نفس كم قال أرسطو مشاكل نفس تعد مراحل مشاكل مخلوق آخر,"['عدو', 'داخلي', 'جود', 'عدو', 'خارجي', 'ستطيع', 'إيذائ', 'معني', 'أكبر', 'عدو', 'إنسان', 'نفس', 'كم', 'قال', 'أرسطو', 'مشاكل', 'نفس', 'تعد', 'مراحل', 'مشاكل', 'مخلوق', 'آخر']","['عَدْو', 'داخِل', 'جود', 'عَدْو', 'خارِج', 'طِيع', 'إيذائ', 'مَعْنِيّ', 'أَكْبَر', 'عَدْو', 'أَنْسَأ', 'نَفَس', 'كم', 'قال', 'أَرِسْطُو', 'مَشاكِل', 'نَفَس', 'تَعَدّ', 'مَراحِل', 'مَشاكِل', 'مَخْلُوق', 'آخَر']",عَدْو داخِل جود عَدْو خارِج طِيع إيذائ مَعْنِيّ أَكْبَر عَدْو أَنْسَأ نَفَس كم قال أَرِسْطُو مَشاكِل نَفَس تَعَدّ مَراحِل مَشاكِل مَخْلُوق آخَر
إحدى علامات العقل الناضج هي القدرة على الاستمتاع بفكرة ما دون الاعتقاد بها.,Sentiment: positive,"['علامات', 'العقل', 'الناضج', 'القدرة', 'الاستمتاع', 'بفكرة', 'الاعتقاد']",علام عقل ناضج قدر ٱستمتاع فكر ٱعتقاد,"['علام', 'عقل', 'ناضج', 'قدر', 'ٱستمتاع', 'فكر', 'ٱعتقاد']","['عَلّام', 'عَقَّل', 'ناضِج', 'قَدَر', 'ٱِسْتِمْتاع', 'فِكْر', 'ٱِعْتِقاد']",عَلّام عَقَّل ناضِج قَدَر ٱِسْتِمْتاع فِكْر ٱِعْتِقاد
مَن لا يعرف كيف يقرن إرادته بقوته، فلا قوة له.,Sentiment: negative,"['يعرف', 'يقرن', 'إرادته', 'بقوته', 'قوة']",عرف قر أراد قو قو,"['عرف', 'قر', 'أراد', 'قو', 'قو']","['عُرْف', 'قَرّ', 'أَراد', 'قو', 'قو']",عُرْف قَرّ أَراد قو قو
الجبن خصلة كامنة في نفس الحيوان، فإذا ما خلا بنفسه، أظهر شجاعة.,Blameworthy Moral: جُبْن,"['الجبن', 'خصلة', 'كامنة', 'الحيوان', 'بنفسه', 'أظهر', 'شجاعة']",جبن خصل كامن حيوان نفس أظهر شجاع,"['جبن', 'خصل', 'كامن', 'حيوان', 'نفس', 'أظهر', 'شجاع']","['جُب', 'خُصَل', 'كامِن', 'حَيَوان', 'نَفَس', 'أَظْهَر', 'شُجاع']",جُب خُصَل كامِن حَيَوان نَفَس أَظْهَر شُجاع
معرفة نفسك هي بداية كل حكمة.,Sentiment: positive,"['معرفة', 'نفسك', 'بداية', 'حكمة']",معرف نفس بداي حكم,"['معرف', 'نفس', 'بداي', 'حكم']","['معرف', 'نَفَس', 'داي', 'حَكَم']",معرف نَفَس داي حَكَم
لا تُعتبر السعادة سعادة، إلّا إذا اشترك فيها أكثر من شخص، ولا يعتبر الألم ألماً إلا إذا تحمله شخص واحد.,Sentiment: positive,"['تعتبر', 'السعادة', 'سعادة', 'اشترك', 'شخص', 'يعتبر', 'الألم', 'ألما', 'تحمله', 'شخص', 'احد']",عتبر سعاد سعاد ٱشترك شخص عتبر ألم ألم تحمل شخص أحد,"['عتبر', 'سعاد', 'سعاد', 'ٱشترك', 'شخص', 'عتبر', 'ألم', 'ألم', 'تحمل', 'شخص', 'أحد']","['عتبر', 'سُعاد', 'سُعاد', 'ٱِشْتَرَك', 'شَخْص', 'عتبر', 'أَلِم', 'أَلِم', 'تَحَمُّل', 'شَخْص', 'أَحَّد']",عتبر سُعاد سُعاد ٱِشْتَرَك شَخْص عتبر أَلِم أَلِم تَحَمُّل شَخْص أَحَّد
إنّ السعادة تنبع من ذواتنا لا من الآخرين.,Sentiment: positive,"['السعادة', 'تنبع', 'ذواتنا', 'الآخرين']",سعاد نبع ذوات آخر,"['سعاد', 'نبع', 'ذوات', 'آخر']","['سُعاد', 'نَبْع', 'ذَوات', 'آخَر']",سُعاد نَبْع ذَوات آخَر
ما دام أنّ السعادة على حسب تعريفنا هي فاعلية ما للنفس مُسيّرة بالفضيلة الكاملة، فيجب علينا أن ندرس الفضيلة، وسيكون هذا وسيلة عاجلة لتجديد فهم السعادة ذاتها أيضاً.,Sentiment: positive,"['دام', 'السعادة', 'تعريفنا', 'فاعلية', 'للنفس', 'مسيرة', 'بالفضيلة', 'الكاملة', 'فيجب', 'علينا', 'ندرس', 'الفضيلة', 'سيكون', 'سيلة', 'عاجلة', 'لتجديد', 'فهم', 'السعادة', 'ذاتها']",دام سعاد تعريف فاعل نفس مسير فضيل كامل جب علي درس فضيل كون سيل عاجل تجديد فهم سعاد ذات,"['دام', 'سعاد', 'تعريف', 'فاعل', 'نفس', 'مسير', 'فضيل', 'كامل', 'جب', 'علي', 'درس', 'فضيل', 'كون', 'سيل', 'عاجل', 'تجديد', 'فهم', 'سعاد', 'ذات']","['دام', 'سُعاد', 'تَعْرِيف', 'فاعِل', 'نَفَس', 'مَسِير', 'فَضِيل', 'كامِل', 'جُبّ', 'عَلِيّ', 'دَرَس', 'فَضِيل', 'كَوْن', 'سَيْل', 'عاجِل', 'تَجْدِيد', 'فُهِم', 'سُعاد', 'ذات']",دام سُعاد تَعْرِيف فاعِل نَفَس مَسِير فَضِيل كامِل جُبّ عَلِيّ دَرَس فَضِيل كَوْن سَيْل عاجِل تَجْدِيد فُهِم سُعاد ذات
الكذّابون خاسرون دائماً، ولا سيما أنّ أحداً لا يصدقهم، حتى ولو صدقوا.,Sentiment: negative,"['الكذابون', 'خاسرون', 'دائما', 'سيما', 'أحدا', 'يصدقهم', 'صدقوا']",كذاب خاسر دائم سيما أحد صدق صدق,"['كذاب', 'خاسر', 'دائم', 'سيما', 'أحد', 'صدق', 'صدق']","['كَذّاب', 'خاسِر', 'دائِم', 'سِيما', 'أَحَّد', 'صِدْق', 'صِدْق']",كَذّاب خاسِر دائِم سِيما أَحَّد صِدْق صِدْق
عندما نغيِّر من نظرتنا إلى الحياة لن تبدو الحياة لنا مختلفة فقط، بل ستكون الحياة نفسها على الحقيقة مختلفة .,Sentiment: neutral,"['عندما', 'نغير', 'نظرتنا', 'الحياة', 'تبدو', 'الحياة', 'مختلفة', 'فقط', 'ستكون', 'الحياة', 'نفسها', 'الحقيقة', 'مختلفة']",عندم غير نظر ألحي بدو ألحي مختلف فقط كون ألحي نفس حقيق مختلف,"['عندم', 'غير', 'نظر', 'ألحي', 'بدو', 'ألحي', 'مختلف', 'فقط', 'كون', 'ألحي', 'نفس', 'حقيق', 'مختلف']","['عَنْدَم', 'غَيْر', 'نَظَر', 'أَلْحَى', 'بَدْو', 'أَلْحَى', 'مُخْتَلَف', 'فَقَط', 'كَوْن', 'أَلْحَى', 'نَفَس', 'حَقِيق', 'مُخْتَلَف']",عَنْدَم غَيْر نَظَر أَلْحَى بَدْو أَلْحَى مُخْتَلَف فَقَط كَوْن أَلْحَى نَفَس حَقِيق مُخْتَلَف
إن جاء الحاكم بفضل أقليّة، فسيكون طاغية يجرّد الشعب من أسلحته.,Sentiment: negative,"['جاا', 'الحاكم', 'بفضل', 'أقلية', 'فسيكون', 'طاغية', 'يجرد', 'الشعب', 'أسلحته']",جاا ألح فضل أقل كون طاغ جرد شعب أسلح,"['جاا', 'ألح', 'فضل', 'أقل', 'كون', 'طاغ', 'جرد', 'شعب', 'أسلح']","['جاا', 'أَلْح', 'فَضَّل', 'أَقَلّ', 'كَوْن', 'طاغ', 'جَرِد', 'شَعْب', 'سَلِّح']",جاا أَلْح فَضَّل أَقَلّ كَوْن طاغ جَرِد شَعْب سَلِّح
نحن نكون ما عوّدنا أنفسنا على تكراره، فالنّجاح هو العادة أكثر ممّا هو عمل.,Sentiment: positive,"['نكون', 'عودنا', 'أنفسنا', 'تكراره', 'فالنجاح', 'العادة', 'عمل']",كون عود أنفس تكرار نجاح عاد عمل,"['كون', 'عود', 'أنفس', 'تكرار', 'نجاح', 'عاد', 'عمل']","['كَوْن', 'عُود', 'أَنْفُس', 'تَكْرار', 'نَجاح', 'عاد', 'عَمَل']",كَوْن عُود أَنْفُس تَكْرار نَجاح عاد عَمَل
مَن عمل بيده فهو عامل، ومَن عمل بيده وعقله فهو صانع، أمّا مَن عمل بيده، وعقله، وقلبه فهو فنان.,Sentiment: positive,"['عمل', 'بيده', 'فهو', 'عامل', 'عمل', 'بيده', 'عقله', 'فهو', 'صانع', 'عمل', 'بيده', 'عقله', 'قلبه', 'فهو', 'فنان']",عمل بيد هو عامل عمل بيد عقل هو صانع عمل بيد عقل قلب هو فنان,"['عمل', 'بيد', 'هو', 'عامل', 'عمل', 'بيد', 'عقل', 'هو', 'صانع', 'عمل', 'بيد', 'عقل', 'قلب', 'هو', 'فنان']","['عَمَل', 'بِيد', 'هُو', 'عامِل', 'عَمَل', 'بِيد', 'عَقَّل', 'هُو', 'صانَع', 'عَمَل', 'بِيد', 'عَقَّل', 'قَلَّب', 'هُو', 'فَنّان']",عَمَل بِيد هُو عامِل عَمَل بِيد عَقَّل هُو صانَع عَمَل بِيد عَقَّل قَلَّب هُو فَنّان
الرؤية من دون عمل ما هي إلّا حلم، والعمل من دون رؤية ما هو إلّا مضيعة للوقت، أمّا الرؤية مع العمل هي ما يمكنها أن تغيّر العالم.,Good Moral: حُلُم,"['الراية', 'عمل', 'حلم', 'العمل', 'راية', 'مضيعة', 'للوقت', 'الراية', 'العمل', 'يمكنها', 'تغير', 'العالم']",راي عمل حلم عمل رأي مضيع وقت راي عمل مكن تغير عالم,"['راي', 'عمل', 'حلم', 'عمل', 'رأي', 'مضيع', 'وقت', 'راي', 'عمل', 'مكن', 'تغير', 'عالم']","['راي', 'عَمَل', 'حُلُم', 'عَمَل', 'راي', 'مُضَيِّع', 'وَق', 'راي', 'عَمَل', 'مَكَّن', 'تَغَيُّر', 'عالَم']",راي عَمَل حُلُم عَمَل راي مُضَيِّع وَق راي عَمَل مَكَّن تَغَيُّر عالَم
رجل بلا أخلاق هو وحش تمّ إطلاقه على هذا العالم.,Sentiment: negative,"['رجل', 'بلا', 'أخلاق', 'حش', 'تم', 'إطلاقه', 'العالم']",رجل بل أخلاق حش تم إطلاق عالم,"['رجل', 'بل', 'أخلاق', 'حش', 'تم', 'إطلاق', 'عالم']","['رَجِل', 'بَلّ', 'أَخْلاق', 'حَشّ', 'تَمّ', 'إِطْلاق', 'عالَم']",رَجِل بَلّ أَخْلاق حَشّ تَمّ إِطْلاق عالَم
لو عالج الطبيب مرضاه بنفس الدواء لمات نصفهم.,Sentiment: negative,"['عالج', 'الطبيب', 'مرضاه', 'بنفس', 'الدواا', 'لمات', 'نصفهم']",عالج طبيب مرض نفس الدواا مات نصف,"['عالج', 'طبيب', 'مرض', 'نفس', 'الدواا', 'مات', 'نصف']","['عالَج', 'طَبِيب', 'مَرَض', 'نَفَس', 'الدواا', 'مات', 'نَصَف']",عالَج طَبِيب مَرَض نَفَس الدواا مات نَصَف
الإنسان يمكن أن يغيّر حياته، إذا ما استطاع أن يغيّر اتجاهاته العقلية.,Sentiment: positive,"['الإنسان', 'يمكن', 'يغير', 'حياته', 'استطاع', 'يغير', 'اتجاهاته', 'العقلية']",إنسان مكن غير حي ٱستطاع غير ٱتجاه عقلي,"['إنسان', 'مكن', 'غير', 'حي', 'ٱستطاع', 'غير', 'ٱتجاه', 'عقلي']","['أَنْسَأ', 'مَكَّن', 'غَيْر', 'حَيَّ', 'ٱِسْتَطاع', 'غَيْر', 'ٱِتِّجاه', 'عُقُل']",أَنْسَأ مَكَّن غَيْر حَيَّ ٱِسْتَطاع غَيْر ٱِتِّجاه عُقُل
فلسفة الحياة في بضعة سطور.. غناك في نفسك، وقيمتك في عملك، وبواعثك أحرى بالعناية من غاياتك، ولا تنتظر من الناس كثيراً تحمد عاقبته بعد كل انتظار.,Sentiment: positive,"['فلسفة', 'الحياة', 'بضعة', 'سطور', 'غناك', 'نفسك', 'قيمتك', 'عملك', 'بواعثك', 'أحرى', 'بالعناية', 'غاياتك', 'تنتظر', 'الناس', 'تحمد', 'عاقبته', 'انتظار']",فلسف ألحي بضع سطور غن نفس قيم عمل بواعث أحر عناي غاي نتظر ناس حمد عاقب ٱنتظار,"['فلسف', 'ألحي', 'بضع', 'سطور', 'غن', 'نفس', 'قيم', 'عمل', 'بواعث', 'أحر', 'عناي', 'غاي', 'نتظر', 'ناس', 'حمد', 'عاقب', 'ٱنتظار']","['فَلْسَف', 'أَلْحَى', 'بَضَع', 'سُطُور', 'غَنّ', 'نَفَس', 'قَيِّم', 'عَمَل', 'بَواعِث', 'أَحَرّ', 'عناي', 'غاي', 'نتظر', 'ناس', 'حَمِد', 'عاقِب', 'ٱِنْتِظار']",فَلْسَف أَلْحَى بَضَع سُطُور غَنّ نَفَس قَيِّم عَمَل بَواعِث أَحَرّ عناي غاي نتظر ناس حَمِد عاقِب ٱِنْتِظار
إنما هي ثلاثة: المبدأ الشريف للنفس، والفكر السامي للعقل، والحب الطّاهر للقلب هذه هي معاني الكمال.,Sentiment: positive,"['المبدأ', 'الشريف', 'للنفس', 'الفكر', 'السامي', 'للعقل', 'الحب', 'الطاهر', 'للقلب', 'معاني', 'الكمال']",مبدأ شريف نفس فكر سامي عقل حب طاهر قلب معان كمال,"['مبدأ', 'شريف', 'نفس', 'فكر', 'سامي', 'عقل', 'حب', 'طاهر', 'قلب', 'معان', 'كمال']","['مَبْدَآ', 'شَرِيف', 'نَفَس', 'فِكْر', 'سامّ', 'عَقَّل', 'حُبّ', 'طاهِر', 'قَلَّب', 'مُعان', 'كَمال']",مَبْدَآ شَرِيف نَفَس فِكْر سامّ عَقَّل حُبّ طاهِر قَلَّب مُعان كَمال
